type,clock_cycle,thickness tFE,Vdd,T_RISE ,T_FALL ,T_DELAY 
ncfet_inverter,100ps,30nm,0.8,2.773004e-12,2.797651e-12,1.984864e-12
ncfet_inverter,100ps,30nm,0.9,3.100472e-12,3.139238e-12,1.974701e-12
ncfet_inverter,100ps,3nm,0.3,2.460381e-12,2.328365e-12,4.446162e-12
ncfet_inverter,100ps,3nm,0.4,2.314088e-12,2.317006e-12,2.582611e-12
ncfet_inverter,100ps,3nm,0.5,1.944707e-12,1.939455e-12,1.664456e-12
ncfet_inverter,100ps,3nm,0.6,1.807934e-12,1.814472e-12,1.26791e-12
ncfet_inverter,100ps,3nm,0.7,1.97382e-12,1.985566e-12,1.102813e-12
ncfet_inverter,100ps,3nm,0.8,2.29581e-12,2.295252e-12,1.027705e-12
ncfet_inverter,100ps,3nm,0.9,2.61257e-12,2.620952e-12,9.962477e-13
ncfet_inverter,100ps,400nm,0.3,5.590952e-12,6.111966e-12,8.532927e-12
ncfet_inverter,100ps,400nm,0.4,5.983646e-12,6.878772e-12,8.676216e-12
ncfet_inverter,100ps,400nm,0.5,6.790268e-12,7.945091e-12,8.6162e-12
ncfet_inverter,100ps,400nm,0.6,7.315764e-12,8.790895e-12,8.444503e-12
ncfet_inverter,100ps,400nm,0.7,7.741632e-12,9.447544e-12,8.246549e-12
ncfet_inverter,100ps,400nm,0.8,7.980989e-12,9.986948e-12,8.054987e-12
ncfet_inverter,100ps,400nm,0.9,8.179495e-12,1.04924e-11,7.883594e-12
ncfet_inverter,100ps,40nm,0.3,2.828557e-12,2.786049e-12,4.890522e-12
ncfet_inverter,100ps,40nm,0.4,2.704665e-12,2.702145e-12,3.174156e-12
ncfet_inverter,100ps,40nm,0.5,2.268564e-12,2.27247e-12,2.508518e-12
ncfet_inverter,100ps,40nm,0.6,2.280074e-12,2.283991e-12,2.346584e-12
ncfet_inverter,100ps,40nm,0.7,2.604066e-12,2.630636e-12,2.301617e-12
ncfet_inverter,100ps,40nm,0.8,2.954409e-12,2.977134e-12,2.279439e-12
ncfet_inverter,100ps,40nm,0.9,3.278718e-12,3.343429e-12,2.2682e-12
ncfet_inverter,100ps,4nm,0.3,2.46509e-12,2.353635e-12,4.460267e-12
ncfet_inverter,100ps,4nm,0.4,2.32638e-12,2.33226e-12,2.601048e-12
ncfet_inverter,100ps,4nm,0.5,1.957242e-12,1.952424e-12,1.690144e-12
ncfet_inverter,100ps,4nm,0.6,1.831489e-12,1.831567e-12,1.300548e-12
ncfet_inverter,100ps,4nm,0.7,1.997271e-12,2.001371e-12,1.140608e-12
ncfet_inverter,100ps,4nm,0.8,2.306626e-12,2.315587e-12,1.067998e-12
ncfet_inverter,100ps,4nm,0.9,2.629065e-12,2.639148e-12,1.038133e-12
ncfet_inverter,100ps,500nm,0.3,7.166379e-12,8.019112e-12,1.027996e-11
ncfet_inverter,100ps,500nm,0.4,7.98356e-12,9.317812e-12,1.041979e-11
ncfet_inverter,100ps,500nm,0.5,8.703717e-12,1.044181e-11,1.024119e-11
ncfet_inverter,100ps,500nm,0.6,9.216112e-12,1.129022e-11,9.97306e-12
ncfet_inverter,100ps,500nm,0.7,9.557115e-12,1.19704e-11,9.701266e-12
ncfet_inverter,100ps,500nm,0.8,9.755055e-12,1.254478e-11,9.453868e-12
ncfet_inverter,100ps,500nm,0.9,9.84812e-12,1.310235e-11,9.24262e-12
ncfet_inverter,100ps,50nm,0.3,2.893161e-12,2.892591e-12,4.986955e-12
ncfet_inverter,100ps,50nm,0.4,2.766984e-12,2.759047e-12,3.318554e-12
ncfet_inverter,100ps,50nm,0.5,2.349052e-12,2.341121e-12,2.725241e-12
ncfet_inverter,100ps,50nm,0.6,2.431069e-12,2.437016e-12,2.603968e-12
ncfet_inverter,100ps,50nm,0.7,2.748683e-12,2.786527e-12,2.56979e-12
ncfet_inverter,100ps,50nm,0.8,3.122049e-12,3.177674e-12,2.549945e-12
ncfet_inverter,100ps,50nm,0.9,3.450108e-12,3.528855e-12,2.536237e-12
ncfet_inverter,100ps,5nm,0.3,2.465306e-12,2.35707e-12,4.477421e-12
ncfet_inverter,100ps,5nm,0.4,2.334291e-12,2.348173e-12,2.61981e-12
ncfet_inverter,100ps,5nm,0.5,1.966738e-12,1.965106e-12,1.71497e-12
ncfet_inverter,100ps,5nm,0.6,1.837672e-12,1.845346e-12,1.332344e-12
ncfet_inverter,100ps,5nm,0.7,2.018228e-12,2.017218e-12,1.177697e-12
ncfet_inverter,100ps,5nm,0.8,2.319833e-12,2.340408e-12,1.10811e-12
ncfet_inverter,100ps,5nm,0.9,2.645105e-12,2.669678e-12,1.07949e-12
ncfet_inverter,100ps,600nm,0.3,9.265302e-12,1.051865e-11,1.219118e-11
ncfet_inverter,100ps,600nm,0.4,1.025334e-11,1.202616e-11,1.216745e-11
ncfet_inverter,100ps,600nm,0.5,1.094103e-11,1.322815e-11,1.185042e-11
ncfet_inverter,100ps,600nm,0.6,1.136193e-11,1.406457e-11,1.148565e-11
ncfet_inverter,100ps,600nm,0.7,1.15888e-11,1.473211e-11,1.114541e-11
ncfet_inverter,100ps,600nm,0.8,1.172061e-11,1.532202e-11,1.085309e-11
ncfet_inverter,100ps,600nm,0.9,1.176303e-11,1.588102e-11,1.059992e-11
ncfet_inverter,100ps,60nm,0.3,2.978054e-12,2.985032e-12,5.074322e-12
ncfet_inverter,100ps,60nm,0.4,2.82492e-12,2.810787e-12,3.457722e-12
ncfet_inverter,100ps,60nm,0.5,2.428224e-12,2.419904e-12,2.937995e-12
ncfet_inverter,100ps,60nm,0.6,2.563102e-12,2.583247e-12,2.849085e-12
ncfet_inverter,100ps,60nm,0.7,2.900683e-12,2.951456e-12,2.820375e-12
ncfet_inverter,100ps,60nm,0.8,3.280217e-12,3.355667e-12,2.800109e-12
ncfet_inverter,100ps,60nm,0.9,3.604868e-12,3.705566e-12,2.783253e-12
ncfet_inverter,100ps,6nm,0.3,2.47521e-12,2.369972e-12,4.491152e-12
ncfet_inverter,100ps,6nm,0.4,2.349655e-12,2.364211e-12,2.637719e-12
ncfet_inverter,100ps,6nm,0.5,1.981931e-12,1.977637e-12,1.739504e-12
ncfet_inverter,100ps,6nm,0.6,1.858404e-12,1.858851e-12,1.364267e-12
ncfet_inverter,100ps,6nm,0.7,2.029091e-12,2.032864e-12,1.214418e-12
ncfet_inverter,100ps,6nm,0.8,2.326388e-12,2.353882e-12,1.147738e-12
ncfet_inverter,100ps,6nm,0.9,2.656118e-12,2.662207e-12,1.120754e-12
ncfet_inverter,100ps,700nm,0.3,1.188939e-11,1.364837e-11,1.411754e-11
ncfet_inverter,100ps,700nm,0.4,1.28563e-11,1.515724e-11,1.389808e-11
ncfet_inverter,100ps,700nm,0.5,1.345393e-11,1.630178e-11,1.343511e-11
ncfet_inverter,100ps,700nm,0.6,1.373113e-11,1.715482e-11,1.297648e-11
ncfet_inverter,100ps,700nm,0.7,1.384569e-11,1.779732e-11,1.257473e-11
ncfet_inverter,100ps,700nm,0.8,1.387346e-11,1.844492e-11,1.223406e-11
ncfet_inverter,100ps,700nm,0.9,1.383803e-11,1.902296e-11,1.195669e-11
ncfet_inverter,100ps,70nm,0.3,3.055181e-12,3.07535e-12,5.155472e-12
ncfet_inverter,100ps,70nm,0.4,2.875221e-12,2.845136e-12,3.595695e-12
ncfet_inverter,100ps,70nm,0.5,2.505691e-12,2.488053e-12,3.147164e-12
ncfet_inverter,100ps,70nm,0.6,2.68914e-12,2.693224e-12,3.080709e-12
ncfet_inverter,100ps,70nm,0.7,3.041882e-12,3.11966e-12,3.056902e-12
ncfet_inverter,100ps,70nm,0.8,3.428853e-12,3.50827e-12,3.033211e-12
ncfet_inverter,100ps,70nm,0.9,3.742563e-12,3.879846e-12,3.011817e-12
ncfet_inverter,100ps,7nm,0.3,2.491682e-12,2.382126e-12,4.504704e-12
ncfet_inverter,100ps,7nm,0.4,2.364585e-12,2.378398e-12,2.65543e-12
ncfet_inverter,100ps,7nm,0.5,1.996071e-12,1.996302e-12,1.764652e-12
ncfet_inverter,100ps,7nm,0.6,1.862321e-12,1.870842e-12,1.395858e-12
ncfet_inverter,100ps,7nm,0.7,2.041019e-12,2.045961e-12,1.250898e-12
ncfet_inverter,100ps,7nm,0.8,2.352043e-12,2.368108e-12,1.186748e-12
ncfet_inverter,100ps,7nm,0.9,2.667998e-12,2.692725e-12,1.160892e-12
ncfet_inverter,100ps,800nm,0.3,1.502395e-11,1.727988e-11,1.602258e-11
ncfet_inverter,100ps,800nm,0.4,1.57951e-11,1.881304e-11,1.558149e-11
ncfet_inverter,100ps,800nm,0.5,1.628444e-11,1.981373e-11,1.498971e-11
ncfet_inverter,100ps,800nm,0.6,1.640879e-11,2.057492e-11,1.445866e-11
ncfet_inverter,100ps,800nm,0.7,1.64136e-11,2.121663e-11,1.399692e-11
ncfet_inverter,100ps,800nm,0.8,1.634725e-11,2.184428e-11,1.362092e-11
ncfet_inverter,100ps,800nm,0.9,1.61952e-11,2.239688e-11,1.331513e-11
ncfet_inverter,100ps,80nm,0.3,3.125354e-12,3.17704e-12,5.232678e-12
ncfet_inverter,100ps,80nm,0.4,2.921337e-12,2.861821e-12,3.734402e-12
ncfet_inverter,100ps,80nm,0.5,2.586199e-12,2.579637e-12,3.351828e-12
