gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.6,2,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,2,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,2,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,2,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,3,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,3,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,3,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,3,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,3,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,3,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,3,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,4,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,4,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,4,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,4,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,4,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,4,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,4,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,5,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,5,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,5,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,5,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,5,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,5,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,5,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,6,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,6,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,6,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,6,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,6,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,6,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,6,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,7,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,7,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,7,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,7,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,7,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,7,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,7,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,8,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,8,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,8,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,8,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,8,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,8,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,8,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,9,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,9,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,9,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,9,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,9,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,9,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,9,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.1,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.1,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.1,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.1,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.1,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.1,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.1,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.2,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.2,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.2,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.2,200,7.734549e-13,1.450625e-12,9.466227e-12
