gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
nand2,0.7,0.2,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.2,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.2,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.3,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.3,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.3,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.3,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.3,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.3,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.3,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.4,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.4,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.4,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.4,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.4,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.4,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.4,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.5,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.5,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.5,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.5,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.5,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.5,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.5,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.6,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.6,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.6,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.6,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.6,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.6,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.6,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.7,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.7,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.7,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.7,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.7,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.7,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.7,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.8,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.8,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.8,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.8,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.8,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.8,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.8,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,0.9,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,0.9,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,0.9,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,0.9,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,0.9,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,0.9,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,0.9,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,1,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,1,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,1,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,1,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,1,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,1,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,1,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,2,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,2,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,2,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,2,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,2,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,2,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,2,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,3,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,3,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,3,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,3,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,3,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,3,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,3,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,4,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,4,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,4,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,4,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,4,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,4,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,4,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,5,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,5,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,5,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,5,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,5,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,5,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,5,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,6,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,6,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,6,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,6,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,6,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,6,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,6,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,7,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,7,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,7,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,7,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,7,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,7,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,7,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,8,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,8,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,8,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,8,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,8,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,8,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,8,900, FAILED,1.18439e-11,5.270892e-11
nand2,0.3,9,900, FAILED,1.852789e-11,2.915071e-11
nand2,0.4,9,900, FAILED,1.010077e-11,3.125379e-11
nand2,0.5,9,900, FAILED,8.452385e-12,3.471485e-11
nand2,0.6,9,900, FAILED,9.41134e-12,3.900754e-11
nand2,0.7,9,900, FAILED,1.050285e-11,4.368934e-11
nand2,0.8,9,900, FAILED,1.134123e-11,4.836187e-11
nand2,0.9,9,900, FAILED,1.18439e-11,5.270892e-11
nand3,0.3,0.1,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.1,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.1,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.1,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.1,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.1,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.1,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.2,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.2,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.2,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.2,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.2,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.2,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.2,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.3,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.3,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.3,100,8.290432e-13,5.132249e-12,9.340901e-12
